geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
LT,Lithuania,2024,10-49,3.26,6.51,17.20678571428572,,5.206666666666667,24.4775,18.585,1
LT,Lithuania,2024,50-249,6.95,15.11,18.98428571428571,,14.343333333333334,24.4375,18.02,1
LT,Lithuania,2025,10-249,7.89,20.25,,15.37,11.736666666666666,,,2
LT,Lithuania,2025,10-49,6.72,18.06,,12.78,10.6,,,2
LT,Lithuania,2025,50-249,13.32,30.36,,27.336666666666662,15.946666666666667,,,2
LU,Luxembourg,2021,10-249,2.825,12.215,,,6.260000000000001,,,0
LU,Luxembourg,2021,10-49,2.55,11.635,,,5.6066666666666665,,,0
LU,Luxembourg,2021,50-249,4.1,14.915,,,8.793333333333333,,,0
LU,Luxembourg,2023,10-249,3.0999999999999996,13.565,,7.035,7.8933333333333335,,,0
LU,Luxembourg,2023,10-49,2.42,12.32,,5.94,7.276666666666666,,,0
LU,Luxembourg,2023,50-249,6.445,19.68,,12.363333333333335,10.229999999999999,,,2
LU,Luxembourg,2024,10-249,5.5600000000000005,23.085,14.442499999999999,,8.186666666666666,21.705000000000002,12.3075,2
LU,Luxembourg,2024,10-49,5.145,21.255000000000003,14.40392857142857,,7.043333333333333,21.9175,12.9075,2
LU,Luxembourg,2024,50-249,7.5649999999999995,31.88,14.904285714285717,,12.593333333333334,21.425,10.385,2
LU,Luxembourg,2025,10-249,6.96,32.945,16.772142857142857,18.326666666666668,8.963333333333333,26.340000000000003,13.217500000000001,2
LU,Luxembourg,2025,10-49,6.23,30.67,16.764999999999997,16.325,7.696666666666666,26.8475,13.0325,2
LU,Luxembourg,2025,50-249,10.41,43.715,17.293928571428573,27.77333333333333,14.056666666666667,25.19,14.302500000000002,3
LV,Latvia,2021,10-249,1.47,3.41,9.253571428571428,,10.253333333333334,12.01,16.7475,0
LV,Latvia,2021,10-49,1.22,2.79,8.660357142857142,,12.040000000000001,12.9675,16.365,0
LV,Latvia,2021,50-249,2.83,6.75,11.626428571428571,,6.376666666666668,8.8225,18.5325,0
LV,Latvia,2023,10-249,1.1,4.14,12.889285714285714,3.0766666666666667,3.973333333333334,17.22,17.88,0
LV,Latvia,2023,10-49,0.88,3.47,12.885000000000002,2.563333333333333,3.3833333333333333,16.4925,18.0225,0
LV,Latvia,2023,50-249,2.45,8.27,13.42357142857143,6.19,5.773333333333333,20.5625,18.07,0
LV,Latvia,2024,10-249,2.22,8.24,12.899285714285714,,5.763333333333333,20.445,13.305,0
LV,Latvia,2024,10-49,1.92,7.24,13.043928571428571,,4.760000000000001,21.36,13.5825,0
LV,Latvia,2024,50-249,3.87,13.65,12.94285714285714,,9.219999999999999,18.1525,12.91,0
