geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PL,Poland,2025,GE10,J62_J63,18.78,12.962500000000002,71.87066666666666,54.92666666666667,54.54333333333333,28.691999999999997,,36.943333333333335,2
PL,Poland,2025,GE10,L,1.74,11.813571428571427,55.035000000000004,32.14111111111111,34.236666666666665,22.96066666666667,,17.76833333333333,5
PL,Poland,2025,GE10,L68,1.74,11.813571428571427,55.035000000000004,32.14111111111111,34.236666666666665,22.96066666666667,,17.76833333333333,5
PL,Poland,2025,GE10,L_M,5.08,12.733571428571429,53.13633333333333,35.11611111111111,38.02,22.595999999999997,,19.189999999999998,5
PL,Poland,2025,GE10,M,6.445,13.203571428571431,52.357000000000006,36.29833333333333,39.559999999999995,22.548333333333332,,20.275,5
PL,Poland,2025,GE10,M69-M71,7.28,12.768571428571429,51.86900000000001,35.285555555555554,38.7,20.244333333333334,,21.71666666666667,5
PL,Poland,2025,GE10,M72,6.71,20.05142857142857,,18.779999999999998,48.36,23.356666666666666,,10.839999999999998,0
PL,Poland,2025,GE10,M73-M75,3.7649999999999997,12.1775,50.712,38.678888888888885,38.906666666666666,27.322000000000003,,15.243333333333332,5
PL,Poland,2025,GE10,N,3.8,12.1525,43.894999999999996,30.91111111111111,26.616666666666664,26.659333333333336,,16.548333333333332,3
PL,Poland,2025,GE10,N77-N82_X_N79,3.67,12.039285714285715,43.01866666666667,29.76777777777777,25.70333333333333,25.065,,15.881666666666668,3
PL,Poland,2025,GE10,N79,7.06,16.945,64.518,55.92111111111111,50.199999999999996,57.352666666666664,,30.401666666666667,1
PL,Poland,2025,GE10,S951,18.35,15.885714285714288,62.684000000000005,46.144444444444446,47.199999999999996,34.36733333333333,,34.91166666666667,2
PT,Portugal,2021,GE10,C,2.785,14.889642857142857,29.954,,18.12,24.127666666666666,,23.585,3
PT,Portugal,2021,GE10,C-E,2.785,14.732142857142858,30.608999999999998,,18.63,24.105666666666664,,23.823333333333334,3
PT,Portugal,2021,GE10,C-F,2.0949999999999998,16.0525,28.105,,15.313333333333333,22.806,,22.186666666666667,3
PT,Portugal,2021,GE10,C10-C12,2.38,14.491071428571429,29.592333333333336,,16.82,30.881333333333334,,20.05333333333333,3
PT,Portugal,2021,GE10,C10-C18,2.13,14.99357142857143,26.410666666666668,,13.843333333333332,25.539,,22.06666666666667,3
PT,Portugal,2021,GE10,C10-S951_X_K,2.7249999999999996,14.195000000000002,35.019333333333336,,22.936666666666667,30.562666666666672,,25.653333333333332,3
PT,Portugal,2021,GE10,C13-C15,0.92,10.238928571428572,18.651333333333334,,8.799999999999999,23.340333333333334,,18.75,3
PT,Portugal,2021,GE10,C16-C18,5.165,18.178214285714287,28.104999999999997,,10.045,25.29633333333333,,29.99,3
PT,Portugal,2021,GE10,C19,14.29,0.0,57.85600000000001,,33.336666666666666,37.141999999999996,,35.71333333333333,5
PT,Portugal,2021,GE10,C19-C23,4.9350000000000005,16.9925,36.705,,24.236666666666668,23.435333333333332,,28.556666666666665,5
PT,Portugal,2021,GE10,C20,2.4850000000000003,19.970357142857143,35.56666666666667,,30.38,26.000333333333334,,25.725,5
PT,Portugal,2021,GE10,C21,11.22,3.761875,56.432222222222215,,15.31,28.52266666666667,,34.336666666666666,5
PT,Portugal,2021,GE10,C22_C23,5.04,16.669642857142854,36.885,,7.17,22.761333333333333,,29.013333333333335,3
PT,Portugal,2021,GE10,C24_C25,2.04,12.144999999999998,5.603333333333334,,5.92,15.420333333333332,,11.909999999999998,3
PT,Portugal,2021,GE10,C26,5.53,15.26142857142857,,,,22.97333333333333,,25.583333333333332,5
PT,Portugal,2021,GE10,C26-C33,3.76,16.43357142857143,32.784,,25.326666666666668,25.564,,23.988333333333333,3
PT,Portugal,2021,GE10,C27,0.0,11.108571428571429,,,3.14,26.326,,3.943333333333334,3
PT,Portugal,2021,GE10,C27_C28,4.22,12.518214285714285,34.02,,12.170000000000002,20.106,,24.37666666666667,3
PT,Portugal,2021,GE10,C28,5.97,13.000714285714286,30.44,,10.34,15.994666666666665,,24.044999999999998,3
PT,Portugal,2021,GE10,C29_C30,8.84,15.04142857142857,31.792499999999997,,11.015,28.118666666666666,,25.196666666666665,3
PT,Portugal,2021,GE10,C31-C33,2.24,23.854642857142856,6.623333333333332,,6.7299999999999995,28.106666666666666,,10.086666666666666,3
